NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HECTD4	1	HECTD4	
VPS53	1	VPS53	
VPS52	1	VPS52	
XIRP1	1	XIRP1	
IL21R	1	IL21R	
VPS54	1	VPS54	
XIRP2	1	XIRP2	
C1orf109	1	C1orf109	
CSK	1	CSK	
BCO2	1	BCO2	
BCO1	1	BCO1	
C1orf105	1	C1orf105	
STOX1	1	STOX1	
SLC35A1	1	SLC35A1	
MGME1	1	MGME1	
SLC35A4	1	SLC35A4	
C1orf122	1	C1orf122	
SLC35A3	1	SLC35A3	
APOC4	1	APOC4	
APOC3	1	APOC3	
APOBR	1	APOBR	
KBTBD11	1	KBTBD11	
CPPED1	1	CPPED1	
MAB21L3	1	MAB21L3	
ASXL1	1	ASXL1	
MAB21L4	1	C2orf54	
EVI2A	1	EVI2A	
CTH	1	CTH	
MAB21L1	1	MAB21L1	
ASXL3	1	ASXL3	
APOC2	1	APOC2	
ASXL2	1	ASXL2	
MAB21L2	1	MAB21L2	
VPS41	1	VPS41	
APOC1	1	APOC1	
CEBPZ	1	CEBPZ	
VPS45	1	VPS45	
EVI2B	1	EVI2B	
C1orf116	1	C1orf116	
C1orf115	1	C1orf115	
SLC35B3	1	SLC35B3	
SLC35B2	1	SLC35B2	
IL1RN	1	IL1RN	
SLC35B4	1	SLC35B4	
